Kode Mata Kuliah,Nama Mata Kuliah,Kelas,Sifat Mata Kuliah,Jumlah SKS,Kode Nilai,Nilai Angka,NIM,IP,Semester,Komponen Penilaian,Nilai
SCE61102,Aljabar Linier,SCE61102/TK/Kuliah/A,W,4,E,33.29,2211511001,1.55,Ganjil 2022,TUGAS-PR,75.0
SCE61102,Aljabar Linier,SCE61102/TK/Kuliah/A,W,4,E,33.29,2211511001,1.55,Ganjil 2022,KUIS,54.0
SCE61102,Aljabar Linier,SCE61102/TK/Kuliah/A,W,4,E,33.29,2211511001,1.55,Ganjil 2022,UTS,0.0
SCE61102,Aljabar Linier,SCE61102/TK/Kuliah/A,W,4,E,33.29,2211511001,1.55,Ganjil 2022,UAS,25.0
SCE61101,Fisika 1,SCE61101/TK/Kuliah/A,W,3,B+,71.7,2211511001,1.55,Ganjil 2022,UTS,60.0
SCE61101,Fisika 1,SCE61101/TK/Kuliah/A,W,3,B+,71.7,2211511001,1.55,Ganjil 2022,UAS,76.0
SCE61101,Fisika 1,SCE61101/TK/Kuliah/A,W,3,B+,71.7,2211511001,1.55,Ganjil 2022,TUGAS-PR,85.0
SCE61101,Fisika 1,SCE61101/TK/Kuliah/A,W,3,B+,71.7,2211511001,1.55,Ganjil 2022,Sikap,70.0
SCE61101,Fisika 1,SCE61101/TK/Kuliah/A,W,3,B+,71.7,2211511001,1.55,Ganjil 2022,Kehadiran,86.0
SCE61104,Kimia 1,SCE61104/TK/Kuliah/A,W,2,E,36.14,2211511001,1.55,Ganjil 2022,UTS,55.0
SCE61104,Kimia 1,SCE61104/TK/Kuliah/A,W,2,E,36.14,2211511001,1.55,Ganjil 2022,UAS,17.29
SCE61103,Matematika 1,SCE61103/TK/Kuliah/A,W,3,E,35.29,2211511001,1.55,Ganjil 2022,UTS,20.0
SCE61103,Matematika 1,SCE61103/TK/Kuliah/A,W,3,E,35.29,2211511001,1.55,Ganjil 2022,UAS,50.6
CCE61101,Pengenalan Teknik Komputer,CCE61101/TK/Kuliah/A,W,2,D,45.12,2211511001,1.55,Ganjil 2022,TUGAS-PR,35.0
CCE61101,Pengenalan Teknik Komputer,CCE61101/TK/Kuliah/A,W,2,D,45.12,2211511001,1.55,Ganjil 2022,Kehadiran,78.57
CCE61101,Pengenalan Teknik Komputer,CCE61101/TK/Kuliah/A,W,2,D,45.12,2211511001,1.55,Ganjil 2022,Presentasi,84.77
CCE61101,Pengenalan Teknik Komputer,CCE61101/TK/Kuliah/A,W,2,D,45.12,2211511001,1.55,Ganjil 2022,UTS,25.0
CCE61101,Pengenalan Teknik Komputer,CCE61101/TK/Kuliah/A,W,2,D,45.12,2211511001,1.55,Ganjil 2022,UAS,30.0
SCE61105,Pengetahuan Lingkungan,SCE61105/TK/Kuliah/A,W,2,B,67.5,2211511001,1.55,Ganjil 2022,UTS,55.0
SCE61105,Pengetahuan Lingkungan,SCE61105/TK/Kuliah/A,W,2,B,67.5,2211511001,1.55,Ganjil 2022,TUGAS-PR,85.0
SCE61105,Pengetahuan Lingkungan,SCE61105/TK/Kuliah/A,W,2,B,67.5,2211511001,1.55,Ganjil 2022,UAS,65.0
CCE62102,Algoritma dan Pemecahan Masalah 1,CCE62102/TK/Kuliah/A,W,2,E,9.8,2211511001,0.0,Genap 2022,TUGAS-PR,13.33
CCE62102,Algoritma dan Pemecahan Masalah 1,CCE62102/TK/Kuliah/A,W,2,E,9.8,2211511001,0.0,Genap 2022,Kehadiran,35.71
CCE62102,Algoritma dan Pemecahan Masalah 1,CCE62102/TK/Kuliah/A,W,2,E,9.8,2211511001,0.0,Genap 2022,UTS,0.0
CCE62102,Algoritma dan Pemecahan Masalah 1,CCE62102/TK/Kuliah/A,W,2,E,9.8,2211511001,0.0,Genap 2022,UAS,0.0
SCE62106,Fisika 2,SCE62106/TK/Kuliah/A,W,3,E,7.35,2211511001,0.0,Genap 2022,UAS,0.0
SCE62106,Fisika 2,SCE62106/TK/Kuliah/A,W,3,E,7.35,2211511001,0.0,Genap 2022,UTS,15.0
SCE62106,Fisika 2,SCE62106/TK/Kuliah/A,W,3,E,7.35,2211511001,0.0,Genap 2022,TUGAS-PR,0.0
SCE62106,Fisika 2,SCE62106/TK/Kuliah/A,W,3,E,7.35,2211511001,0.0,Genap 2022,Kehadiran,14.29
SCE62108,Matematika 2,SCE62108/TK/Kuliah/A,W,3,E,24.37,2211511001,0.0,Genap 2022,TUGAS-PR,59.88
SCE62108,Matematika 2,SCE62108/TK/Kuliah/A,W,3,E,24.37,2211511001,0.0,Genap 2022,KUIS,39.5
SCE62108,Matematika 2,SCE62108/TK/Kuliah/A,W,3,E,24.37,2211511001,0.0,Genap 2022,UTS,15.0
SCE62108,Matematika 2,SCE62108/TK/Kuliah/A,W,3,E,24.37,2211511001,0.0,Genap 2022,UAS,0.0
SCE62107,Matematika Diskrit,SCE62107/TK/Kuliah/A,W,3,BL,,2211511001,0.0,Genap 2022,UTS,40.0
SCE62107,Matematika Diskrit,SCE62107/TK/Kuliah/A,W,3,BL,,2211511001,0.0,Genap 2022,TUGAS-PR,75.0
CCE62103,Praktikum Algoritma dan Pemecahan Masalah ,CE62103/TK/Prakt/B,W,1,E,0.0,2211511001,0.0,Genap 2022,KUIS,0.0
CCE62103,Praktikum Algoritma dan Pemecahan Masalah ,CE62103/TK/Prakt/B,W,1,E,0.0,2211511001,0.0,Genap 2022,Praktikum,0.0
CCE62103,Praktikum Algoritma dan Pemecahan Masalah ,CE62103/TK/Prakt/B,W,1,E,0.0,2211511001,0.0,Genap 2022,TUGAS-PR,0.0
SCE62109,Probabilitas dan Statistika,SCE62109/TK/Kuliah/A,W,4,E,7.2,2211511001,0.0,Genap 2022,UAS,0.0
SCE62109,Probabilitas dan Statistika,SCE62109/TK/Kuliah/A,W,4,E,7.2,2211511001,0.0,Genap 2022,UTS,8.0
SCE62109,Probabilitas dan Statistika,SCE62109/TK/Kuliah/A,W,4,E,7.2,2211511001,0.0,Genap 2022,TUGAS-PR,20.0
SCE61102,Aljabar Linier,SCE61102/TK/Kuliah/B,W,4,B,65.32,2211511002,3.48,Ganjil 2022,TUGAS-PR,75.0
SCE61102,Aljabar Linier,SCE61102/TK/Kuliah/B,W,4,B,65.32,2211511002,3.48,Ganjil 2022,KUIS,91.13
SCE61102,Aljabar Linier,SCE61102/TK/Kuliah/B,W,4,B,65.32,2211511002,3.48,Ganjil 2022,UTS,42.0
SCE61102,Aljabar Linier,SCE61102/TK/Kuliah/B,W,4,B,65.32,2211511002,3.48,Ganjil 2022,UAS,65.0
SCE61101,Fisika 1,SCE61101/TK/Kuliah/B	,W,3,B+,70.25,2211511002,3.48,Ganjil 2022,UTS,65.0
SCE61101,Fisika 1,SCE61101/TK/Kuliah/B	,W,3,B+,70.25,2211511002,3.48,Ganjil 2022,TUGAS-PR,90.0
SCE61101,Fisika 1,SCE61101/TK/Kuliah/B	,W,3,B+,70.25,2211511002,3.48,Ganjil 2022,UAS,60.0
SCE61101,Fisika 1,SCE61101/TK/Kuliah/B	,W,3,B+,70.25,2211511002,3.48,Ganjil 2022,Kehadiran,100.0
